user_story_id,user_story_description,stakeholder_role,complexity,moscow_category,dependencies,weighted_score,final_priority,project_stage,timestamp,outcome
1,"1.As a bank customer, I want to be able to view my account balance online, so that I can keep track of my finances.",Customer,24,Won’t Have,,7.4,Low,Planning,2024-12-08 12:33:41.308674,Deferred
3,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2024-12-07 12:33:41.308674,Deferred
5,The system should display the current balance of the customer's account when they log in.,Customer,15,Should Have,,9.5,Medium,Planning,2024-12-06 12:33:41.308674,Approved
6,"The balance displayed should be accurate and up-to-date, reflecting the most recent transactions.",General User,13,Should Have,,9.3,Medium,Planning,2024-12-05 12:33:41.308674,Approved
7,"The system should only display the balance of the account associated with the customer's login credentials, and not any other accounts.",Customer,21,Should Have,,10.1,Medium,Planning,2024-12-04 12:33:41.308674,Approved
8,The system should provide a secure login process to ensure the confidentiality and privacy of the customer's account information.,Customer,19,Should Have,,9.9,Medium,Planning,2024-12-03 12:33:41.308674,Approved
11,"2.As a small business owner with limited resources, I want the banking system to have low fees, be easy to use, provide access to credit, and allow me to manage my business finances efficiently so that I can focus on growing my business.",General User,43,Won’t Have,,9.3,Low,Planning,2024-12-02 12:33:41.308674,Deferred
13,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2024-12-01 12:33:41.308674,Deferred
15,The banking system should have lower fees compared to other banking systems available in the market.,General User,16,Should Have,,9.6,Medium,Planning,2024-11-30 12:33:41.308674,Approved
16,The banking system should be easy to use with a user-friendly interface and intuitive navigation.,General User,15,Should Have,,9.5,Medium,Planning,2024-11-29 12:33:41.308674,Approved
17,The banking system should offer access to credit with flexible repayment terms and interest rates.,General User,15,Should Have,,9.5,Medium,Planning,2024-11-28 12:33:41.308674,Approved
18,"The banking system should allow me to manage my business finances efficiently with features like account balance tracking, transaction history, and budgeting tools.",General User,23,Should Have,,10.3,Medium,Planning,2024-11-27 12:33:41.308674,Approved
21,"3.As a new customer, I want the banking system to have a user-friendly interface, offer quick account setup, provide detailed instructions for transactions, and offer customer support so that I can feel confident using the system.",Customer,36,Won’t Have,,8.6,Low,Planning,2024-11-26 12:33:41.308674,Deferred
23,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2024-11-25 12:33:41.308674,Deferred
25,The banking system should have a user-friendly interface that is easy to navigate for new customers with minimal guidance or support required.,Customer,22,Should Have,,10.2,Medium,Planning,2024-11-24 12:33:41.308674,Approved
26,"The account setup process should be quick and straightforward, taking no longer than 15 minutes to complete.",General User,17,Should Have,,9.7,Medium,Planning,2024-11-23 12:33:41.308674,Approved
27,"The banking system should provide detailed instructions for all types of transactions, including deposits, withdrawals, and transfers, to ensure that new customers feel confident using the system.",Customer,27,Should Have,,10.7,Medium,Planning,2024-11-22 12:33:41.308674,Approved
28,"The banking system should offer customer support through multiple channels, including phone, email, and chat, with fast response times to address any issues or concerns.",Customer,25,Should Have,,10.5,Medium,Planning,2024-11-21 12:33:41.308674,Approved
31,"4.As a frequent traveler who regularly uses multiple currencies, I want the banking system to offer competitive exchange rates, provide easy-to-use currency conversion tools, allow me to manage multiple accounts in different currencies, and offer international payment options so that I can manage my finances effectively while abroad.",General User,48,Won’t Have,,9.8,Low,Planning,2024-11-20 12:33:41.308674,Deferred
33,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2024-11-19 12:33:41.308674,Deferred
35,The banking system should offer exchange rates that are competitive and updated in real-time to reflect current market rates.,General User,19,Should Have,,9.9,Medium,Planning,2024-11-18 12:33:41.308674,Approved
36,The banking system should provide easy-to-use currency conversion tools that allow me to quickly convert between different currencies without having to navigate through multiple screens.,General User,25,Should Have,,10.5,Medium,Planning,2024-11-17 12:33:41.308674,Approved
37,"The banking system should allow me to manage multiple accounts in different currencies, including the ability to view account balances, transaction history, and make transfers between accounts.",General User,27,Should Have,,10.7,Medium,Planning,2024-11-16 12:33:41.308674,Approved
38,"The banking system should offer international payment options, including the ability to make wire transfers and pay bills in foreign currencies, with competitive fees and processing times.",General User,27,Should Have,,10.7,Medium,Planning,2024-11-15 12:33:41.308674,Approved
41,"5.As an elderly customer with limited mobility, I want the banking system to have large, easy-to-read fonts and provide clear audio instructions, offer online banking options with large, clear buttons, have wheelchair accessibility in branches, and offer telephone support with customer service representatives who are patient and helpful so that I can manage my finances independently.",Customer,56,Won’t Have,Related to another feature,10.6,Low,Planning,2024-11-14 12:33:41.308674,Deferred
43,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2024-11-13 12:33:41.308674,Deferred
45,"The banking system should have large, easy-to-read fonts and provide clear audio instructions for all features and functions, ensuring that elderly customers can easily navigate the system.",Customer,27,Should Have,,10.7,Medium,Planning,2024-11-12 12:33:41.308674,Approved
46,"The online banking options should have large, clear buttons that are easy to find and use, making it simple for elderly customers to manage their finances without assistance.",Customer,28,Should Have,,10.8,Medium,Planning,2024-11-11 12:33:41.308674,Approved
47,"All bank branches should have wheelchair accessibility, including ramps, wide doorways, and elevators, ensuring that elderly customers can easily access all areas of the branch.",Customer,25,Should Have,,10.5,Medium,Planning,2024-11-10 12:33:41.308674,Approved
48,"Telephone support should be available with customer service representatives who are patient, helpful, and trained to assist elderly customers with any questions or issues they may have when using the banking system.",Customer,32,Should Have,,11.2,Medium,Planning,2024-11-09 12:33:41.308674,Approved
51,"6.As a parent who wants to teach financial literacy to my children, I want the banking system to offer options for children's savings accounts, educational resources about budgeting and saving, parental controls for online banking, and user-friendly tools for monitoring their spending so that my children can learn about money management while using a safe and secure platform.",General User,58,Won’t Have,,10.8,Low,Planning,2024-11-08 12:33:41.308674,Deferred
53,Acceptance Criteria:,General User,2,Won’t Have,,5.2,Low,Planning,2024-11-07 12:33:41.308674,Deferred
55,The banking system should offer savings accounts specifically designed for children with attractive interest rates.,General User,15,Should Have,,9.5,Medium,Planning,2024-11-06 12:33:41.308674,Approved
56,"The educational resources should be easy to access and understand, and cover topics like budgeting, saving, and responsible credit card use.",General User,21,Should Have,,10.1,Medium,Planning,2024-11-05 12:33:41.308674,Approved
57,"Parental controls should allow parents to set spending limits, restrict certain transactions, and receive notifications of account activity.",General User,18,Should Have,,9.8,Medium,Planning,2024-11-04 12:33:41.308674,Approved
58,The tools for monitoring spending should be user-friendly and include visualizations such as graphs or charts.,General User,16,Should Have,,9.6,Medium,Planning,2024-11-03 12:33:41.308674,Approved
